"MacroTrends Data Download"
"MSFT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-03-13,0.0563,0.0646,0.0563,0.0618,1031788800
1986-03-14,0.0618,0.0651,0.0618,0.0640,308160000
1986-03-17,0.0640,0.0657,0.0640,0.0651,133171200
1986-03-18,0.0651,0.0657,0.0629,0.0635,67766400
1986-03-19,0.0635,0.0640,0.0618,0.0624,47894400
1986-03-20,0.0624,0.0624,0.0602,0.0607,58435200
1986-03-21,0.0607,0.0618,0.0580,0.0591,59990400
1986-03-24,0.0591,0.0591,0.0569,0.0574,65289600
1986-03-25,0.0574,0.0585,0.0569,0.0585,32083200
1986-03-26,0.0585,0.0607,0.0580,0.0602,22752000
1986-03-27,0.0602,0.0613,0.0602,0.0613,16848000
1986-03-31,0.0613,0.0613,0.0596,0.0607,12873600
1986-04-01,0.0607,0.0607,0.0602,0.0602,11088000
1986-04-02,0.0602,0.0618,0.0602,0.0607,27014400
1986-04-03,0.0613,0.0629,0.0613,0.0613,23040000
1986-04-04,0.0613,0.0618,0.0613,0.0613,26582400
1986-04-07,0.0613,0.0618,0.0591,0.0602,16560000
1986-04-08,0.0602,0.0618,0.0602,0.0607,10252800
1986-04-09,0.0607,0.0624,0.0607,0.0618,12153600
1986-04-10,0.0618,0.0629,0.0607,0.0624,13881600
1986-04-11,0.0629,0.0646,0.0629,0.0635,17222400
1986-04-14,0.0635,0.0646,0.0635,0.0640,12153600
1986-04-15,0.0640,0.0640,0.0618,0.0640,9302400
1986-04-16,0.0640,0.0668,0.0635,0.0663,31910400
1986-04-17,0.0663,0.0668,0.0663,0.0668,22003200
1986-04-18,0.0668,0.0668,0.0640,0.0646,21628800
1986-04-21,0.0646,0.0651,0.0629,0.0646,22924800
1986-04-22,0.0646,0.0646,0.0635,0.0635,15552000
1986-04-23,0.0635,0.0640,0.0629,0.0638,15609600
1986-04-24,0.0638,0.0712,0.0635,0.0701,62352000
1986-04-25,0.0707,0.0776,0.0707,0.0745,85795200
1986-04-28,0.0745,0.0756,0.0740,0.0751,28886400
1986-04-29,0.0751,0.0751,0.0723,0.0729,30326400
1986-04-30,0.0729,0.0734,0.0696,0.0712,30902400
1986-05-01,0.0712,0.0712,0.0690,0.0701,54345600
1986-05-02,0.0701,0.0712,0.0696,0.0701,20246400
1986-05-05,0.0701,0.0701,0.0696,0.0696,3254400
1986-05-06,0.0701,0.0712,0.0701,0.0701,9734400
1986-05-07,0.0701,0.0707,0.0690,0.0701,5155200
1986-05-08,0.0701,0.0707,0.0696,0.0707,3542400
1986-05-09,0.0707,0.0707,0.0701,0.0701,6076800
1986-05-12,0.0701,0.0723,0.0701,0.0707,10483200
1986-05-13,0.0707,0.0718,0.0707,0.0712,3830400
1986-05-14,0.0712,0.0712,0.0707,0.0707,9302400
1986-05-15,0.0707,0.0718,0.0707,0.0707,3801600
1986-05-16,0.0707,0.0729,0.0707,0.0712,11952000
1986-05-19,0.0712,0.0712,0.0696,0.0701,11001600
1986-05-20,0.0701,0.0701,0.0690,0.0696,61977600
1986-05-21,0.0696,0.0701,0.0685,0.0685,8092800
1986-05-22,0.0685,0.0690,0.0685,0.0685,4406400
1986-05-23,0.0685,0.0696,0.0685,0.0685,4089600
1986-05-27,0.0685,0.0707,0.0685,0.0707,13881600
1986-05-28,0.0707,0.0729,0.0707,0.0729,15523200
1986-05-29,0.0729,0.0756,0.0723,0.0745,45676800
1986-05-30,0.0751,0.0784,0.0751,0.0773,27072000
1986-06-02,0.0773,0.0773,0.0751,0.0751,19728000
1986-06-03,0.0751,0.0751,0.0740,0.0751,5011200
1986-06-04,0.0751,0.0756,0.0740,0.0745,4723200
1986-06-05,0.0745,0.0756,0.0740,0.0756,13708800
1986-06-06,0.0756,0.0756,0.0745,0.0756,3427200
1986-06-09,0.0756,0.0756,0.0723,0.0723,12672000
1986-06-10,0.0723,0.0723,0.0712,0.0723,3427200
1986-06-11,0.0723,0.0723,0.0712,0.0723,2304000
1986-06-12,0.0723,0.0723,0.0690,0.0696,13708800
1986-06-13,0.0696,0.0701,0.0690,0.0696,7891200
1986-06-16,0.0696,0.0701,0.0685,0.0690,9590400
1986-06-17,0.0696,0.0712,0.0696,0.0701,13075200
1986-06-18,0.0701,0.0701,0.0685,0.0696,4348800
1986-06-19,0.0696,0.0701,0.0685,0.0690,8467200
1986-06-20,0.0690,0.0696,0.0690,0.0693,3801600
1986-06-23,0.0693,0.0701,0.0679,0.0701,46195200
1986-06-24,0.0701,0.0707,0.0690,0.0696,14572800
1986-06-25,0.0696,0.0701,0.0685,0.0685,15235200
1986-06-26,0.0685,0.0690,0.0663,0.0663,19152000
1986-06-27,0.0663,0.0668,0.0651,0.0657,10396800
1986-06-30,0.0657,0.0696,0.0651,0.0679,62352000
1986-07-01,0.0679,0.0679,0.0674,0.0679,47577600
1986-07-02,0.0679,0.0679,0.0674,0.0679,52617600
1986-07-03,0.0685,0.0696,0.0685,0.0690,14140800
1986-07-07,0.0690,0.0690,0.0663,0.0663,14054400
1986-07-08,0.0663,0.0663,0.0640,0.0646,14256000
1986-07-09,0.0646,0.0646,0.0613,0.0618,46137600
1986-07-10,0.0618,0.0624,0.0574,0.0602,46886400
1986-07-11,0.0602,0.0629,0.0602,0.0618,17395200
1986-07-14,0.0602,0.0624,0.0602,0.0610,28598400
1986-07-15,0.0610,0.0629,0.0602,0.0618,13190400
1986-07-16,0.0624,0.0640,0.0624,0.0640,9360000
1986-07-17,0.0640,0.0651,0.0635,0.0651,6940800
1986-07-18,0.0651,0.0663,0.0635,0.0657,12326400
1986-07-21,0.0657,0.0668,0.0657,0.0657,3513600
1986-07-22,0.0657,0.0679,0.0657,0.0679,10512000
1986-07-23,0.0679,0.0690,0.0663,0.0663,20793600
1986-07-24,0.0674,0.0696,0.0674,0.0685,14140800
1986-07-25,0.0685,0.0696,0.0685,0.0690,20448000
1986-07-28,0.0690,0.0690,0.0674,0.0674,11808000
1986-07-29,0.0674,0.0679,0.0646,0.0657,14054400
1986-07-30,0.0657,0.0657,0.0613,0.0635,26409600
1986-07-31,0.0635,0.0640,0.0629,0.0629,15638400
1986-08-01,0.0629,0.0635,0.0618,0.0624,12902400
1986-08-04,0.0624,0.0624,0.0607,0.0624,12441600
1986-08-05,0.0624,0.0629,0.0618,0.0618,2822400
1986-08-06,0.0618,0.0624,0.0602,0.0613,18316800
1986-08-07,0.0613,0.0618,0.0602,0.0607,3657600
1986-08-08,0.0607,0.0624,0.0607,0.0613,4147200
1986-08-11,0.0624,0.0640,0.0624,0.0635,7948800
1986-08-12,0.0635,0.0651,0.0635,0.0651,9993600
1986-08-13,0.0651,0.0657,0.0646,0.0657,6883200
1986-08-14,0.0657,0.0679,0.0657,0.0674,20131200
1986-08-15,0.0674,0.0679,0.0668,0.0676,6105600
1986-08-18,0.0676,0.0679,0.0668,0.0668,12787200
1986-08-19,0.0668,0.0671,0.0657,0.0668,20390400
1986-08-20,0.0668,0.0668,0.0663,0.0663,20764800
1986-08-21,0.0663,0.0674,0.0663,0.0663,49536000
1986-08-22,0.0663,0.0668,0.0640,0.0651,5760000
1986-08-25,0.0651,0.0651,0.0640,0.0651,2419200
1986-08-26,0.0651,0.0651,0.0646,0.0646,10857600
1986-08-27,0.0646,0.0651,0.0640,0.0646,9532800
1986-08-28,0.0646,0.0651,0.0646,0.0646,3427200
1986-08-29,0.0646,0.0651,0.0618,0.0629,25430400
1986-09-02,0.0629,0.0629,0.0604,0.0613,5212800
1986-09-03,0.0607,0.0607,0.0580,0.0596,18316800
1986-09-04,0.0607,0.0646,0.0607,0.0646,39427200
1986-09-05,0.0646,0.0674,0.0640,0.0674,26352000
1986-09-08,0.0674,0.0679,0.0668,0.0668,9619200
1986-09-09,0.0668,0.0696,0.0668,0.0679,37526400
1986-09-10,0.0679,0.0685,0.0668,0.0668,10886400
1986-09-11,0.0668,0.0674,0.0640,0.0640,35654400
1986-09-12,0.0640,0.0646,0.0624,0.0624,24451200
1986-09-15,0.0624,0.0635,0.0613,0.0635,22492800
1986-09-16,0.0635,0.0640,0.0624,0.0635,5184000
1986-09-17,0.0635,0.0663,0.0629,0.0651,8035200
1986-09-18,0.0651,0.0668,0.0651,0.0657,5356800
1986-09-19,0.0657,0.0663,0.0651,0.0657,2505600
1986-09-22,0.0657,0.0657,0.0651,0.0651,4492800
